Month,1M,6M,12M
18-Jan,0,0,-0.19
18-Feb,0,0,-0.19
18-Mar,0,0,-0.19
18-Apr,0,0,-0.19
18-May,0,0,-0.19
18-Jun,0,0,-0.18
18-Jul,0,0,-0.18
18-Aug,0,0,-0.17
18-Sep,0,0,-0.17
18-Oct,0,0,-0.15
18-Nov,0,0,-0.15
18-Dec,0,0,-0.13
19-Jan,0,0,-0.12
19-Feb,0,0,-0.11
19-Mar,0,0,-0.11
19-Apr,0,0,-0.11
19-May,0,0,-0.13
19-Jun,0,0,-0.19
19-Jul,0,0,-0.28
19-Aug,0,0,-0.36
19-Sep,0,0,-0.34
19-Oct,0,0,-0.3
19-Nov,0,0,-0.27
19-Dec,0,0,-0.26
20-Jan,0,0,-0.25
20-Feb,0,0,-0.29
20-Mar,0,0,-0.27
20-Apr,0,0,-0.11
20-May,0,0,-0.08
20-Jun,0,0,-0.15
20-Jul,0,0,-0.28
20-Aug,0,0,-0.36
20-Sep,0,0,-0.42
20-Oct,0,0,-0.47
20-Nov,0,0,-0.48
20-Dec,0,0,-0.5
21-Jan,-0.55,-0.53,-0.51
21-Feb,-0.54,-0.52,-0.5
21-Mar,-0.54,-0.52,-0.49
21-Apr,-0.54,-0.52,-0.48
21-May,-0.54,-0.51,-0.48
21-Jun,-0.54,-0.52,-0.48
21-Jul,-0.55,-0.52,-0.49
21-Aug,-0.55,-0.53,-0.5
21-Sep,-0.55,-0.52,-0.49
21-Oct,-0.55,-0.53,-0.48
21-Nov,-0.57,-0.53,-0.49
21-Dec,-0.58,-0.55,-0.5
22-Jan,-0.56,-0.53,-0.48
22-Feb,-0.53,-0.48,-0.34
22-Mar,-0.5,-0.42,-0.24
22-Apr,-0.45,-0.31,0.01
22-May,-0.39,-0.14,0.29
22-Jun,-0.24,0.16,0.85
22-Jul,0.04,0.47,0.99
22-Aug,0.4,0.84,1.25
22-Sep,1.01,1.6,2.23
22-Oct,1.43,2,2.63
22-Nov,1.83,2.32,2.83
22-Dec,2.06,2.56,3.02
23-Jan,2.35,2.86,3.34
23-Feb,2.64,3.14,3.53
23-Mar,2.91,3.27,3.65
23-Apr,3.18,3.52,3.76
23-May,3.37,3.68,3.86
23-Jun,3.54,3.83,4.01
23-Jul,3.67,3.94,4.15
23-Aug,3.78,3.94,4.07
23-Sep,3.88,4.03,4.15
23-Oct,3.97,4.12,4.16
